調査年 コード,調査年,地域 コード,地域,/項目,A1101_総人口【人】,注釈
2015100000,2015年度,1481,北海道 増毛町,,4497,
2015100000,2015年度,1482,北海道 小平町,,3336,
2015100000,2015年度,1483,北海道 苫前町,,3265,
2015100000,2015年度,1484,北海道 羽幌町,,7327,
2015100000,2015年度,1485,北海道 初山別村,,1217,
2015100000,2015年度,1486,北海道 遠別町,,2806,
2015100000,2015年度,1487,北海道 天塩町,,3243,
2015100000,2015年度,1511,北海道 猿払村,,2684,
2015100000,2015年度,1512,北海道 浜頓別町,,3881,
2015100000,2015年度,1513,北海道 中頓別町,,1757,
2015100000,2015年度,1514,北海道 枝幸町,,8437,
2015100000,2015年度,1516,北海道 豊富町,,4054,
2015100000,2015年度,1517,北海道 礼文町,,2773,
2015100000,2015年度,1518,北海道 利尻町,,2303,
2015100000,2015年度,1519,北海道 利尻富士町,,2787,
2015100000,2015年度,1520,北海道 幌延町,,2447,
2015100000,2015年度,1543,北海道 美幌町,,20296,
2015100000,2015年度,1544,北海道 津別町,,5008,
2015100000,2015年度,1545,北海道 斜里町,,12231,
2015100000,2015年度,1546,北海道 清里町,,4221,
2015100000,2015年度,1547,北海道 小清水町,,5085,
2015100000,2015年度,1549,北海道 訓子府町,,5100,
2015100000,2015年度,1550,北海道 置戸町,,3092,
2015100000,2015年度,1552,北海道 佐呂間町,,5362,
2015100000,2015年度,1555,北海道 遠軽町,,20873,
2015100000,2015年度,1559,北海道 湧別町,,9231,
2015100000,2015年度,1560,北海道 滝上町,,2721,
2015100000,2015年度,1561,北海道 興部町,,3909,
2015100000,2015年度,1562,北海道 西興部村,,1116,
2015100000,2015年度,1563,北海道 雄武町,,4525,
2015100000,2015年度,1564,北海道 大空町,,7360,
2015100000,2015年度,1571,北海道 豊浦町,,4291,
2015100000,2015年度,1575,北海道 壮瞥町,,2922,
2015100000,2015年度,1578,北海道 白老町,,17740,
2015100000,2015年度,1581,北海道 厚真町,,4838,
2015100000,2015年度,1584,北海道 洞爺湖町,,9299,
2015100000,2015年度,1585,北海道 安平町,,8148,
2015100000,2015年度,1586,北海道 むかわ町,,8596,
2015100000,2015年度,1601,北海道 日高町,,12378,
2015100000,2015年度,1602,北海道 平取町,,5315,
2015100000,2015年度,1604,北海道 新冠町,,5592,
2015100000,2015年度,1607,北海道 浦河町,,13075,
2015100000,2015年度,1608,北海道 様似町,,4518,
2015100000,2015年度,1609,北海道 えりも町,,4906,
2015100000,2015年度,1610,北海道 新ひだか町,,23231,
2015100000,2015年度,1631,北海道 音更町,,44807,
2015100000,2015年度,1632,北海道 士幌町,,6132,
2015100000,2015年度,1633,北海道 上士幌町,,4765,
2015100000,2015年度,1634,北海道 鹿追町,,5542,
2015100000,2015年度,1635,北海道 新得町,,6288,
2015100000,2015年度,1636,北海道 清水町,,9599,
2015100000,2015年度,1637,北海道 芽室町,,18484,
2015100000,2015年度,1638,北海道 中札内村,,3966,
2015100000,2015年度,1639,北海道 更別村,,3185,
2015100000,2015年度,1641,北海道 大樹町,,5738,
2015100000,2015年度,1642,北海道 広尾町,,7030,
2015100000,2015年度,1643,北海道 幕別町,,26760,
2015100000,2015年度,1644,北海道 池田町,,6882,
2015100000,2015年度,1645,北海道 豊頃町,,3182,
2015100000,2015年度,1646,北海道 本別町,,7358,
2015100000,2015年度,1647,北海道 足寄町,,6990,
2015100000,2015年度,1648,北海道 陸別町,,2482,
2015100000,2015年度,1649,北海道 浦幌町,,4919,
2015100000,2015年度,1661,北海道 釧路町,,19833,
2015100000,2015年度,1662,北海道 厚岸町,,9778,
2015100000,2015年度,1663,北海道 浜中町,,6061,
2015100000,2015年度,1664,北海道 標茶町,,7742,
2015100000,2015年度,1665,北海道 弟子屈町,,7758,
2015100000,2015年度,1667,北海道 鶴居村,,2534,
2015100000,2015年度,1668,北海道 白糠町,,8068,
2015100000,2015年度,1691,北海道 別海町,,15273,
2015100000,2015年度,1692,北海道 中標津町,,23774,
2015100000,2015年度,1693,北海道 標津町,,5242,
2015100000,2015年度,1694,北海道 羅臼町,,5415,
2015100000,2015年度,2201,青森県 青森市,,287648,
2015100000,2015年度,2202,青森県 弘前市,,177411,
2015100000,2015年度,2203,青森県 八戸市,,231257,
2015100000,2015年度,2204,青森県 黒石市,,34284,
2015100000,2015年度,2205,青森県 五所川原市,,55181,
2015100000,2015年度,2206,青森県 十和田市,,63429,
2015100000,2015年度,2207,青森県 三沢市,,40196,
2015100000,2015年度,2208,青森県 むつ市,,58493,
2015100000,2015年度,2209,青森県 つがる市,,33316,
2015100000,2015年度,2210,青森県 平川市,,32106,
2015100000,2015年度,2301,青森県 平内町,,11142,
2015100000,2015年度,2303,青森県 今別町,,2756,
2015100000,2015年度,2304,青森県 蓬田村,,2896,
2015100000,2015年度,2307,青森県 外ヶ浜町,,6198,
2015100000,2015年度,2321,青森県 鰺ヶ沢町,,10126,
